Values between 0 and 4096
Number of pairs: 197
143.994	225	
144.58	229.688	
148.828	232.91	
153.662	234.814	
158.203	237.744	
163.037	239.941	
167.725	242.578	
172.119	245.361	
176.807	247.852	
181.494	250.342	
186.035	252.832	
190.723	255.176	
195.41	257.812	
200.098	260.303	
204.932	262.354	
209.619	264.844	
214.014	267.773	
218.701	270.264	
223.389	272.754	
228.076	275.244	
232.764	277.881	
237.451	280.518	
242.285	282.568	
246.826	285.059	
251.367	287.988	
256.055	289.893	
260.742	292.383	
265.43	294.873	
269.971	297.363	
274.805	299.561	
279.492	302.051	
284.18	304.688	
288.867	307.178	
293.555	309.668	
298.242	312.158	
303.076	310.84	
306.152	306.445	
309.668	302.49	
313.184	298.535	
316.406	294.434	
319.922	290.479	
323.438	286.523	
326.514	282.129	
330.029	278.174	
333.545	274.219	
336.621	269.824	
340.137	265.869	
343.652	261.914	
346.436	257.52	
349.805	253.418	
353.32	249.463	
356.543	245.361	
359.473	240.967	
359.766	236.865	
355.371	234.229	
350.83	231.445	
346.143	229.541	
341.602	226.611	
336.914	224.121	
332.373	221.631	
327.686	219.287	
322.998	216.797	
318.311	214.307	
313.77	211.963	
309.082	209.473	
304.541	206.543	
300	204.053	
295.166	201.855	
290.332	199.805	
285.645	197.314	
281.104	194.385	
276.416	191.895	
271.875	189.551	
267.041	187.354	
262.5	184.717	
257.812	182.08	
253.125	179.59	
248.73	176.66	
243.896	174.609	
239.209	172.119	
234.668	169.189	
229.98	166.699	
225.293	164.062	
220.605	161.572	
216.064	159.082	
211.816	156.006	
206.836	156.445	
203.32	160.4	
199.219	163.916	
195.557	167.578	
192.188	171.68	
189.111	175.781	
185.449	179.443	
181.934	183.398	
178.418	187.061	
174.463	190.723	
171.094	194.824	
168.164	199.072	
164.355	202.881	
161.279	206.836	
157.324	210.498	
153.809	214.453	
150.732	218.848	
146.777	222.217	
143.701	226.611	
145.752	230.273	
150.439	232.764	
154.688	235.986	
159.375	238.477	
164.209	240.381	
168.75	243.457	
173.438	245.508	
177.979	248.438	
182.666	250.781	
187.354	253.418	
192.041	256.055	
196.875	258.105	
201.562	260.742	
205.957	263.672	
210.645	266.016	
215.479	268.066	
219.873	270.85	
224.561	273.486	
229.248	275.977	
233.936	278.467	
238.623	280.957	
243.457	283.154	
247.998	285.498	
252.686	288.135	
257.227	291.064	
262.061	293.115	
266.748	295.752	
271.582	297.949	
276.27	300.439	
281.104	302.637	
285.645	305.713	
290.479	307.764	
295.166	310.4	
299.854	312.891	
304.102	309.814	
307.178	305.42	
310.254	301.172	
313.916	297.363	
317.432	293.408	
320.801	289.453	
324.316	285.352	
327.246	281.104	
330.762	277.148	
334.277	273.193	
337.939	269.092	
340.869	264.99	
343.945	260.742	
347.168	256.641	
350.83	252.686	
354.053	248.584	
357.129	244.189	
360.938	240.527	
358.301	235.84	
353.613	233.35	
348.926	231.006	
344.531	228.223	
339.99	225.586	
335.596	222.803	
330.762	220.898	
326.221	218.408	
321.533	216.211	
316.846	213.721	
312.598	210.498	
307.764	208.594	
303.076	205.957	
298.242	203.76	
293.848	200.977	
289.16	198.486	
284.326	196.289	
279.639	193.799	
274.951	191.309	
270.41	188.818	
265.723	186.182	
261.182	183.398	
256.494	180.908	
251.953	178.418	
247.266	175.928	
242.578	173.438	
237.891	171.094	
233.496	168.164	
228.809	165.674	
224.121	163.037	
219.434	160.547	
214.746	158.057	
210.205	155.566	
205.664	157.471	
202.295	161.572	
198.486	164.795	
195.117	168.896	
191.455	172.559	
188.232	176.514	
184.863	180.469	
